PROTID;GENEID;DEFLINE;NumExp;Total;FREQ;ALL_NUMSPECSTOT;ALL_NUMSPECSUNIQ
NP_005490.1;UBA2;SUMO-activating enzyme subunit 2 [Homo sapiens];32;334;0.093294;107;107
NP_009106.1;ERLIN2;erlin-2 isoform 1 [Homo sapiens];32;334;0.093294;88;45
NP_036473.2;GTPBP4;nucleolar GTP-binding protein 1 [Homo sapiens];32;334;0.093294;187;187
NP_060853.3;WDR33;WD repeat-containing protein 33 isoform 1 [Homo sapiens];32;334;0.093294;260;260
NP_065816.2;UBR4;E3 ubiquitin-protein ligase UBR4 [Homo sapiens];32;334;0.093294;52;52
NP_078805.3;CDC73;parafibromin [Homo sapiens];32;334;0.093294;218;218
NP_115958.2;GLYR1;putative oxidoreductase GLYR1 [Homo sapiens];32;334;0.093294;110;110
NP_116147.1;PHF5A;PHD finger-like domain-containing protein 5A [Homo sapiens];32;334;0.093294;83;83
NP_858058.1;OGT;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit isoform 1 [Homo sapiens];32;334;0.093294;200;200
NP_065910.3;SHROOM3;protein Shroom3 [Homo sapiens];32;334;0.093294;73;73
NP_000185.1;HPRT1;hypoxanthine-guanine phosphoribosyltransferase [Homo sapiens];31;334;0.090379;98;98
NP_001001998.1;EXOSC10;exosome component 10 isoform 1 [Homo sapiens];31;334;0.090379;76;76
NP_001006682.1;SPIN2B;spindlin-2B [Homo sapiens];31;334;0.090379;104;16
NP_001011546.1;DSTN;destrin isoform b [Homo sapiens];31;334;0.090379;57;51
NP_001013865.1;SLTM;SAFB-like transcription modulator isoform b [Homo sapiens];31;334;0.090379;184;184
NP_001015877.1;PHF6;PHD finger protein 6 isoform 1 [Homo sapiens];31;334;0.090379;54;54
NP_001020278.1;ADAR;double-stranded RNA-specific adenosine deaminase isoform d [Homo sapiens];31;334;0.090379;167;167
NP_001035972.1;LGALS7B;galectin-7 [Homo sapiens];31;334;0.090379;100;100
NP_001073341.1;CUL4B;cullin-4B isoform 2 [Homo sapiens];31;334;0.090379;109;109
NP_001106963.1;SEPT9;septin-9 isoform a [Homo sapiens];31;334;0.090379;98;98
NP_001120700.1;CBX1;chromobox protein homolog 1 [Homo sapiens];31;334;0.090379;75;19
NP_001171712.1;VDAC2;voltage-dependent anion-selective channel protein 2 isoform 1 [Homo sapiens];31;334;0.090379;231;231
NP_001172006.1;ARHGDIA;rho GDP-dissociation inhibitor 1 isoform a [Homo sapiens];31;334;0.090379;82;82
NP_001184223.1;DPYSL3;dihydropyrimidinase-related protein 3 isoform 1 [Homo sapiens];31;334;0.090379;110;110
NP_001185709.1;ARPC4;actin-related protein 2/3 complex subunit 4 isoform c [Homo sapiens];31;334;0.090379;66;66
NP_001312.1;CSRP2;cysteine and glycine-rich protein 2 [Homo sapiens];31;334;0.090379;50;50
NP_001688.1;ATP5O;ATP synthase subunit O, mitochondrial precursor [Homo sapiens];31;334;0.090379;86;86
NP_002954.2;S100A7;protein S100-A7 [Homo sapiens];31;334;0.090379;100;100
NP_003283.2;TPR;nucleoprotein TPR [Homo sapiens];31;334;0.090379;137;137
NP_004932.1;DHX8;ATP-dependent RNA helicase DHX8 [Homo sapiens];31;334;0.090379;266;207
NP_036429.2;G3BP2;ras GTPase-activating protein-binding protein 2 isoform a [Homo sapiens];31;334;0.090379;143;143
NP_038470.1;STOML2;stomatin-like protein 2 [Homo sapiens];31;334;0.090379;103;103
NP_055871.1;RRP1B;ribosomal RNA processing protein 1 homolog B [Homo sapiens];31;334;0.090379;152;152
NP_059133.1;CPSF2;cleavage and polyadenylation specificity factor subunit 2 [Homo sapiens];31;334;0.090379;230;230
NP_060117.3;FTSJ3;putative rRNA methyltransferase 3 [Homo sapiens];31;334;0.090379;200;200
NP_076943.1;C19orf43;hypothetical protein LOC79002 [Homo sapiens];31;334;0.090379;60;60
NP_536722.1;SERPINB12;serpin B12 [Homo sapiens];31;334;0.090379;122;122
XP_003118691.1;null;PREDICTED: hypothetical protein LOC100506248, partial [Homo sapiens];31;334;0.090379;46;46
NP_001157145.1;WDR81;WD repeat-containing protein 81 isoform 3 [Homo sapiens];31;334;0.090379;65;65
NP_000055.2;C3;complement C3 precursor [Homo sapiens];30;334;0.087464;165;165
NP_000377.1;BLMH;bleomycin hydrolase [Homo sapiens];30;334;0.087464;69;69
NP_000691.1;ANXA1;annexin A1 [Homo sapiens];30;334;0.087464;80;80
NP_001010935.1;RAP1A;ras-related protein Rap-1A precursor [Homo sapiens];30;334;0.087464;102;102
NP_001010942.1;RAP1B;ras-related protein Rap-1b precursor [Homo sapiens];30;334;0.087464;109;109
NP_001011553.2;SEPT7;septin-7 isoform 2 [Homo sapiens];30;334;0.087464;74;74
NP_001075019.1;THOC2;THO complex subunit 2 [Homo sapiens];30;334;0.087464;159;159
NP_001138586.1;RRP12;RRP12-like protein isoform 2 [Homo sapiens];30;334;0.087464;152;152
NP_001159506.1;SBSN;suprabasin isoform 1 precursor [Homo sapiens];30;334;0.087464;70;70
NP_001252.1;CDK9;cyclin-dependent kinase 9 [Homo sapiens];30;334;0.087464;32;32
NP_002907.1;RFC4;replication factor C subunit 4 [Homo sapiens];30;334;0.087464;94;94
NP_003161.2;SUPT6H;transcription elongation factor SPT6 [Homo sapiens];30;334;0.087464;395;395
NP_003553.2;SLC25A11;mitochondrial 2-oxoglutarate/malate carrier protein isoform 1 [Homo sapiens];30;334;0.087464;117;117
NP_003706.1;USO1;general vesicular transport factor p115 [Homo sapiens];30;334;0.087464;84;84
NP_004129.2;KRT33A;keratin, type I cuticular Ha3-I [Homo sapiens];30;334;0.087464;253;253
NP_005327.1;HDLBP;vigilin [Homo sapiens];30;334;0.087464;154;154
NP_005780.2;PSME3;proteasome activator complex subunit 3 isoform 1 [Homo sapiens];30;334;0.087464;68;68
NP_006254.1;PSME1;proteasome activator complex subunit 1 isoform 1 [Homo sapiens];30;334;0.087464;60;60
NP_036525.1;PFAS;phosphoribosylformylglycinamidine synthase [Homo sapiens];30;334;0.087464;70;70
NP_054796.1;FAM32A;hypothetical protein LOC26017 [Homo sapiens];30;334;0.087464;73;73
NP_055423.1;CYFIP1;cytoplasmic FMR1-interacting protein 1 isoform a [Homo sapiens];30;334;0.087464;68;68
NP_055791.1;PDCD11;protein RRP5 homolog [Homo sapiens];30;334;0.087464;248;248
NP_055179.1;GAPDHS;glyceraldehyde-3-phosphate dehydrogenase, testis-specific [Homo sapiens];30;334;0.087464;59;10
NP_000335.1;SMN1;survival motor neuron protein isoform d [Homo sapiens];29;334;0.084548;49;49
NP_000916.2;PDHB;pyruvate dehydrogenase E1 component subunit beta, mitochondrial isoform 1 precursor [Homo sapiens];29;334;0.084548;57;57
NP_001008895.1;CUL4A;cullin-4A isoform 1 [Homo sapiens];29;334;0.084548;140;140
NP_001029366.1;EXOSC9;exosome complex component RRP45 isoform 1 [Homo sapiens];29;334;0.084548;43;43
NP_001073280.1;DIAPH1;protein diaphanous homolog 1 isoform 2 [Homo sapiens];29;334;0.084548;54;54
NP_001121134.1;GSN;gelsolin isoform b [Homo sapiens];29;334;0.084548;121;121
NP_001129497.1;PLS3;plastin-3 isoform 1 [Homo sapiens];29;334;0.084548;198;198
NP_001679.2;ATP5F1;ATP synthase subunit b, mitochondrial precursor [Homo sapiens];29;334;0.084548;65;65
NP_002406.1;MIF;macrophage migration inhibitory factor [Homo sapiens];29;334;0.084548;196;196
NP_002660.1;PLRG1;pleiotropic regulator 1 isoform 1 [Homo sapiens];29;334;0.084548;133;133
NP_002678.2;PNN;pinin [Homo sapiens];29;334;0.084548;429;429
NP_003065.3;SMARCC1;SWI/SNF complex subunit SMARCC1 [Homo sapiens];29;334;0.084548;95;95
NP_003236.3;TGM3;protein-glutamine gamma-glutamyltransferase E precursor [Homo sapiens];29;334;0.084548;126;126
NP_003282.2;TPP2;tripeptidyl-peptidase 2 [Homo sapiens];29;334;0.084548;73;73
NP_003365.1;VDAC1;voltage-dependent anion-selective channel protein 1 [Homo sapiens];29;334;0.084548;193;184
NP_003925.1;FUBP3;far upstream element-binding protein 3 [Homo sapiens];29;334;0.084548;109;96
NP_004636.1;COIL;coilin [Homo sapiens];29;334;0.084548;67;67
NP_004783.2;PPIG;peptidyl-prolyl cis-trans isomerase G [Homo sapiens];29;334;0.084548;170;170
NP_004990.3;MYO6;myosin-VI [Homo sapiens];29;334;0.084548;257;257
NP_005619.1;SLC1A5;neutral amino acid transporter B(0) isoform 1 [Homo sapiens];29;334;0.084548;70;70
NP_005712.1;ACTR3;actin-related protein 3 [Homo sapiens];29;334;0.084548;112;112
NP_006296.1;ANP32A;acidic leucine-rich nuclear phosphoprotein 32 family member A [Homo sapiens];29;334;0.084548;71;53
NP_006581.2;USP39;U4/U6.U5 tri-snRNP-associated protein 2 [Homo sapiens];29;334;0.084548;103;103
NP_006592.3;PTGES3;prostaglandin E synthase 3 [Homo sapiens];29;334;0.084548;68;68
NP_036419.3;ACAP2;arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 [Homo sapiens];29;334;0.084548;188;188
NP_055568.3;BMS1;ribosome biogenesis protein BMS1 homolog [Homo sapiens];29;334;0.084548;146;146
NP_055680.3;NCAPD2;condensin complex subunit 1 [Homo sapiens];29;334;0.084548;102;102
NP_060547.2;RBM28;RNA-binding protein 28 isoform 1 [Homo sapiens];29;334;0.084548;151;151
NP_060713.1;SEPT11;septin-11 [Homo sapiens];29;334;0.084548;68;68
NP_060774.2;PRR11;proline-rich protein 11 [Homo sapiens];29;334;0.084548;115;115
NP_065953.1;CAMSAP3;calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens];29;334;0.084548;74;74
NP_115571.1;SON;protein SON isoform B [Homo sapiens];29;334;0.084548;628;10
NP_149062.1;SYNE1;nesprin-1 isoform 2 [Homo sapiens];29;334;0.084548;43;42
NP_542781.3;SRSF12;serine/arginine-rich splicing factor 12 [Homo sapiens];29;334;0.084548;84;9
NP_000275.1;PDHA1;pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial isoform 1 precursor [Homo sapiens];28;334;0.081633;58;58
NP_001029097.1;TIAL1;nucleolysin TIAR isoform 2 [Homo sapiens];28;334;0.081633;68;68
NP_001034764.1;UNC45A;protein unc-45 homolog A isoform 3 [Homo sapiens];28;334;0.081633;63;63
NP_001262.3;CHD2;chromodomain-helicase-DNA-binding protein 2 isoform 1 [Homo sapiens];28;334;0.081633;114;114
NP_001655.1;RHOA;transforming protein RhoA precursor [Homo sapiens];28;334;0.081633;63;63
NP_003079.1;FSCN1;fascin [Homo sapiens];28;334;0.081633;110;110
NP_004159.2;SDHA;succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial precursor [Homo sapiens];28;334;0.081633;84;84
NP_004574.2;RAB5C;ras-related protein Rab-5C isoform b [Homo sapiens];28;334;0.081633;81;49
NP_005207.2;DDOST;dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit precursor [Homo sapiens];28;334;0.081633;123;123
NP_005309.1;H1F0;histone H1.0 [Homo sapiens];28;334;0.081633;181;181
NP_036448.1;KPNA6;importin subunit alpha-7 [Homo sapiens];28;334;0.081633;51;51
NP_055100.2;EXOSC2;exosome complex component RRP4 [Homo sapiens];28;334;0.081633;49;49
NP_055118.1;PES1;pescadillo homolog [Homo sapiens];28;334;0.081633;125;125
NP_055484.3;NUP93;nuclear pore complex protein Nup93 [Homo sapiens];28;334;0.081633;133;133
NP_056330.3;KRT23;keratin, type I cytoskeletal 23 [Homo sapiens];28;334;0.081633;53;10
NP_060268.2;YTHDF1;YTH domain family protein 1 [Homo sapiens];28;334;0.081633;61;17
NP_060365.7;DDX27;probable ATP-dependent RNA helicase DDX27 [Homo sapiens];28;334;0.081633;209;209
NP_060695.2;SMU1;WD40 repeat-containing protein SMU1 [Homo sapiens];28;334;0.081633;275;275
NP_061119.1;H2AFY2;core histone macro-H2A.2 [Homo sapiens];28;334;0.081633;156;90
NP_061832.2;DAZAP1;DAZ-associated protein 1 isoform b [Homo sapiens];28;334;0.081633;94;94
NP_061865.1;KCTD5;BTB/POZ domain-containing protein KCTD5 [Homo sapiens];28;334;0.081633;198;189
NP_077003.1;CCDC86;coiled-coil domain-containing protein 86 [Homo sapiens];28;334;0.081633;58;58
NP_149033.2;null;microtubule-actin cross-linking factor 1 isoform b [Homo sapiens];28;334;0.081633;71;4
NP_000174.1;HADHB;trifunctional enzyme subunit beta, mitochondrial precursor [Homo sapiens];27;334;0.078717;136;136
NP_001078927.1;CTNND1;catenin delta-1 isoform 1ABC [Homo sapiens];27;334;0.078717;116;116
NP_001084.3;ACACB;acetyl-CoA carboxylase 2 [Homo sapiens];27;334;0.078717;526;526
NP_001091679.1;CTNNB1;catenin beta-1 [Homo sapiens];27;334;0.078717;105;69
NP_001121620.1;TFRC;transferrin receptor protein 1 [Homo sapiens];27;334;0.078717;74;74
NP_001123579.1;KLC1;kinesin light chain 1 isoform 3 [Homo sapiens];27;334;0.078717;52;52
NP_001153171.1;FHL1;four and a half LIM domains protein 1 isoform 5 [Homo sapiens];27;334;0.078717;86;86
NP_001191676.1;RFC1;replication factor C subunit 1 isoform 2 [Homo sapiens];27;334;0.078717;116;116
NP_001422.1;EPB41L2;band 4.1-like protein 2 isoform a [Homo sapiens];27;334;0.078717;99;83
NP_002004.1;FKBP3;peptidyl-prolyl cis-trans isomerase FKBP3 [Homo sapiens];27;334;0.078717;71;71
NP_002087.2;GTF2F1;general transcription factor IIF subunit 1 [Homo sapiens];27;334;0.078717;44;44
NP_002259.1;KPNA4;importin subunit alpha-4 [Homo sapiens];27;334;0.078717;125;108
NP_002930.2;RNH1;ribonuclease inhibitor [Homo sapiens];27;334;0.078717;675;675
NP_002938.1;RPA3;replication protein A 14 kDa subunit [Homo sapiens];27;334;0.078717;79;79
NP_003893.2;FUBP1;far upstream element-binding protein 1 [Homo sapiens];27;334;0.078717;75;57
NP_004138.1;DRG1;developmentally-regulated GTP-binding protein 1 [Homo sapiens];27;334;0.078717;69;69
NP_004628.4;RAB7A;ras-related protein Rab-7a [Homo sapiens];27;334;0.078717;64;64
NP_004688.2;PRPF4;U4/U6 small nuclear ribonucleoprotein Prp4 [Homo sapiens];27;334;0.078717;171;171
NP_004810.2;SYMPK;symplekin [Homo sapiens];27;334;0.078717;188;188
NP_004926.1;CDK5;cyclin-dependent kinase 5 isoform 1 [Homo sapiens];27;334;0.078717;15;15
NP_005491.1;SAE1;SUMO-activating enzyme subunit 1 isoform a [Homo sapiens];27;334;0.078717;65;65
NP_005661.1;EPM2A;laforin isoform a [Homo sapiens];27;334;0.078717;76;76
NP_005863.1;BCAS2;pre-mRNA-splicing factor SPF27 [Homo sapiens];27;334;0.078717;175;175
NP_006416.3;SLU7;pre-mRNA-splicing factor SLU7 [Homo sapiens];27;334;0.078717;41;41
NP_008850.1;SERPINB3;serpin B3 [Homo sapiens];27;334;0.078717;166;67
NP_009224.2;C4A;complement C4-A preproprotein [Homo sapiens];27;334;0.078717;61;61
NP_031398.2;DDX42;ATP-dependent RNA helicase DDX42 [Homo sapiens];27;334;0.078717;131;131
NP_036272.2;SLC25A10;mitochondrial dicarboxylate carrier [Homo sapiens];27;334;0.078717;93;93
NP_036439.2;EPB41L3;band 4.1-like protein 3 [Homo sapiens];27;334;0.078717;72;55
NP_055204.2;PELP1;proline-, glutamic acid- and leucine-rich protein 1 [Homo sapiens];27;334;0.078717;104;104
NP_055898.1;CDK12;cyclin-dependent kinase 12 isoform 2 [Homo sapiens];27;334;0.078717;42;42
NP_055903.2;TNRC6B;trinucleotide repeat-containing gene 6B protein isoform 2 [Homo sapiens];27;334;0.078717;78;78
NP_057439.2;DDX47;probable ATP-dependent RNA helicase DDX47 isoform 1 [Homo sapiens];27;334;0.078717;69;69
NP_057715.2;GCFC1;GC-rich sequence DNA-binding factor 1 isoform 1 [Homo sapiens];27;334;0.078717;305;305
NP_060676.2;VPS35;vacuolar protein sorting-associated protein 35 [Homo sapiens];27;334;0.078717;86;86
NP_065761.1;LRRC47;leucine-rich repeat-containing protein 47 [Homo sapiens];27;334;0.078717;58;58
NP_073605.4;RBM15;putative RNA-binding protein 15 isoform 1 [Homo sapiens];27;334;0.078717;352;344
NP_079498.2;WDR82;WD repeat-containing protein 82 [Homo sapiens];27;334;0.078717;343;343
NP_663622.2;WDR67;WD repeat-containing protein 67 isoform 1 [Homo sapiens];27;334;0.078717;61;61
NP_689971.4;YTHDF3;YTH domain family protein 3 [Homo sapiens];27;334;0.078717;64;20
NP_976035.1;POLR1C;DNA-directed RNA polymerases I and III subunit RPAC1 [Homo sapiens];27;334;0.078717;70;70
NP_000066.1;CDK4;cyclin-dependent kinase 4 [Homo sapiens];26;334;0.075802;55;55
NP_001008697.1;TFIP11;tuftelin-interacting protein 11 [Homo sapiens];26;334;0.075802;326;326
NP_001019850.1;C1orf68;skin-specific protein 32 [Homo sapiens];26;334;0.075802;62;62
NP_001110.2;ADD1;alpha-adducin isoform a [Homo sapiens];26;334;0.075802;121;112
NP_001127703.1;NT5DC2;5_-nucleotidase domain-containing protein 2 isoform 1 [Homo sapiens];26;334;0.075802;39;39
NP_001132913.1;BCAP31;B-cell receptor-associated protein 31 isoform b [Homo sapiens];26;334;0.075802;52;52
NP_001137260.1;PPHLN1;periphilin-1 isoform 7 [Homo sapiens];26;334;0.075802;69;69
NP_001186793.1;BCL2L2-PABPN1;BCL2L2-PABPN1 protein [Homo sapiens];26;334;0.075802;42;42
NP_001894.2;CTNNA1;catenin alpha-1 [Homo sapiens];26;334;0.075802;143;143
NP_002071.2;GOT2;aspartate aminotransferase, mitochondrial precursor [Homo sapiens];26;334;0.075802;167;167
NP_003124.1;SRP9;signal recognition particle 9 kDa protein isoform 2 [Homo sapiens];26;334;0.075802;41;41
NP_003463.1;DEK;protein DEK isoform 1 [Homo sapiens];26;334;0.075802;55;55
NP_003655.3;AP3B1;AP-3 complex subunit beta-1 [Homo sapiens];26;334;0.075802;48;46
NP_003816.2;SNAP23;synaptosomal-associated protein 23 isoform SNAP23A [Homo sapiens];26;334;0.075802;113;113
NP_004076.1;TIMM8A;mitochondrial import inner membrane translocase subunit Tim8 A isoform 1 [Homo sapiens];26;334;0.075802;82;82
NP_004897.2;WTAP;pre-mRNA-splicing regulator WTAP isoform 1 [Homo sapiens];26;334;0.075802;115;115
NP_005849.1;AKAP8;A-kinase anchor protein 8 [Homo sapiens];26;334;0.075802;39;39
NP_006586.1;API5;apoptosis inhibitor 5 isoform b [Homo sapiens];26;334;0.075802;122;122
NP_006746.1;TALDO1;transaldolase [Homo sapiens];26;334;0.075802;62;62
NP_055227.1;CACYBP;calcyclin-binding protein isoform 1 [Homo sapiens];26;334;0.075802;99;99
NP_055642.3;ZC3H11A;zinc finger CCCH domain-containing protein 11A [Homo sapiens];26;334;0.075802;51;51
NP_056525.2;GLTSCR2;glioma tumor suppressor candidate region gene 2 protein [Homo sapiens];26;334;0.075802;42;42
NP_059830.1;WDR1;WD repeat-containing protein 1 isoform 1 [Homo sapiens];26;334;0.075802;89;89
NP_060707.2;CCAR1;cell division cycle and apoptosis regulator protein 1 [Homo sapiens];26;334;0.075802;65;65
NP_063940.1;DIABLO;diablo homolog, mitochondrial isoform 1 precursor [Homo sapiens];26;334;0.075802;94;94
NP_068579.3;EXOC4;exocyst complex component 4 isoform a [Homo sapiens];26;334;0.075802;31;31
NP_071505.2;TIA1;nucleolysin TIA-1 isoform p40 isoform 2 [Homo sapiens];26;334;0.075802;43;43
NP_076956.1;GGCT;gamma-glutamylcyclotransferase isoform 1 [Homo sapiens];26;334;0.075802;58;58
NP_000242.1;MSH2;DNA mismatch repair protein Msh2 [Homo sapiens];25;334;0.072886;66;66
NP_000290.2;PKP1;plakophilin-1 isoform 1b [Homo sapiens];25;334;0.072886;78;78
NP_000421.1;PAFAH1B1;platelet-activating factor acetylhydrolase IB subunit alpha [Homo sapiens];25;334;0.072886;22;22
NP_001002877.1;THOC5;THO complex subunit 5 homolog [Homo sapiens];25;334;0.072886;79;79
NP_001005332.1;MAGED1;melanoma-associated antigen D1 isoform b [Homo sapiens];25;334;0.072886;105;92
NP_001008493.1;ENAH;protein enabled homolog isoform a [Homo sapiens];25;334;0.072886;32;1
NP_001061.2;TUBG1;tubulin gamma-1 chain [Homo sapiens];25;334;0.072886;41;41
NP_001092004.1;BAG6;large proline-rich protein BAG6 isoform b [Homo sapiens];25;334;0.072886;50;50
NP_001121689.1;PSIP1;PC4 and SFRS1-interacting protein isoform 2 [Homo sapiens];25;334;0.072886;59;56
NP_001124000.1;SPAG9;C-Jun-amino-terminal kinase-interacting protein 4 isoform 1 [Homo sapiens];25;334;0.072886;77;77
NP_001124463.1;HYOU1;hypoxia up-regulated protein 1 precursor [Homo sapiens];25;334;0.072886;130;130
NP_001139197.1;LYAR;cell growth-regulating nucleolar protein [Homo sapiens];25;334;0.072886;56;56
NP_001156752.1;HTATSF1;HIV Tat-specific factor 1 [Homo sapiens];25;334;0.072886;65;65
NP_001157852.1;STAU2;double-stranded RNA-binding protein Staufen homolog 2 isoform a [Homo sapiens];25;334;0.072886;61;33
NP_001164120.1;LAS1L;protein LAS1 homolog isoform 2 [Homo sapiens];25;334;0.072886;102;102
NP_001171134.1;RIF1;telomere-associated protein RIF1 isoform 2 [Homo sapiens];25;334;0.072886;236;236
NP_001193730.1;RFC5;replication factor C subunit 5 isoform 4 [Homo sapiens];25;334;0.072886;50;50
NP_001279.2;CLIC1;chloride intracellular channel protein 1 [Homo sapiens];25;334;0.072886;75;75
NP_001316.1;CSTF2;cleavage stimulation factor subunit 2 [Homo sapiens];25;334;0.072886;124;44
NP_002255.3;KPNA1;importin subunit alpha-1 [Homo sapiens];25;334;0.072886;46;46
NP_002288.1;LCN1;lipocalin-1 precursor [Homo sapiens];25;334;0.072886;53;53
NP_002477.1;NCBP1;nuclear cap-binding protein subunit 1 [Homo sapiens];25;334;0.072886;224;224
NP_003060.2;SMARCA1;probable global transcription activator SNF2L1 isoform a [Homo sapiens];25;334;0.072886;320;320
NP_003127.1;SRP54;signal recognition particle 54 kDa protein isoform 1 [Homo sapiens];25;334;0.072886;45;45
NP_003631.2;IKBKAP;elongator complex protein 1 [Homo sapiens];25;334;0.072886;56;56
NP_003709.3;CDK13;cyclin-dependent kinase 13 isoform 1 [Homo sapiens];25;334;0.072886;16;16
NP_004035.2;ATIC;bifunctional purine biosynthesis protein PURH [Homo sapiens];25;334;0.072886;156;156
NP_004427.1;ENSA;alpha-endosulfine isoform 3 [Homo sapiens];25;334;0.072886;31;31
NP_004777.1;TXNL1;thioredoxin-like protein 1 [Homo sapiens];25;334;0.072886;30;30
NP_005176.1;CALML3;calmodulin-like protein 3 [Homo sapiens];25;334;0.072886;44;44
NP_005558.1;LGALS3BP;galectin-3-binding protein [Homo sapiens];25;334;0.072886;315;315
NP_005751.2;CEBPZ;CCAAT/enhancer-binding protein zeta [Homo sapiens];25;334;0.072886;118;118
NP_005768.1;RBM6;RNA-binding protein 6 isoform 1 [Homo sapiens];25;334;0.072886;92;46
NP_006074.2;IK;protein Red [Homo sapiens];25;334;0.072886;174;174
NP_006342.2;TIMM44;mitochondrial import inner membrane translocase subunit TIM44 precursor [Homo sapiens];25;334;0.072886;35;35
NP_006658.1;PGRMC1;membrane-associated progesterone receptor component 1 [Homo sapiens];25;334;0.072886;40;34
NP_036286.2;EIF2C2;protein argonaute-2 isoform 1 [Homo sapiens];25;334;0.072886;140;140
NP_055156.1;MTCH1;mitochondrial carrier homolog 1 [Homo sapiens];25;334;0.072886;66;66
NP_055363.1;TMOD2;tropomodulin-2 isoform a [Homo sapiens];25;334;0.072886;59;49
NP_055506.1;AQR;intron-binding protein aquarius [Homo sapiens];25;334;0.072886;267;267
NP_057368.3;CNOT1;CCR4-NOT transcription complex subunit 1 isoform a [Homo sapiens];25;334;0.072886;80;80
NP_060495.2;GPATCH1;G patch domain-containing protein 1 [Homo sapiens];25;334;0.072886;197;197
NP_060691.2;MOB1A;mps one binder kinase activator-like 1B [Homo sapiens];25;334;0.072886;49;49
NP_061329.3;GNG12;guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 precursor [Homo sapiens];25;334;0.072886;59;59
NP_061961.2;PAF1;RNA polymerase II-associated factor 1 homolog [Homo sapiens];25;334;0.072886;126;126
NP_065899.1;KIAA1462;hypothetical protein LOC57608 [Homo sapiens];25;334;0.072886;96;96
NP_065952.2;PHRF1;PHD and RING finger domain-containing protein 1 [Homo sapiens];25;334;0.072886;76;74
NP_075385.1;MARCKSL1;MARCKS-related protein [Homo sapiens];25;334;0.072886;65;65
NP_001035975.1;ZNF706;zinc finger protein 706 [Homo sapiens];25;334;0.072886;50;50
NP_060682.2;ENAH;protein enabled homolog isoform b [Homo sapiens];25;334;0.072886;34;3
NP_000261.2;PNP;purine nucleoside phosphorylase [Homo sapiens];24;334;0.069971;94;94
NP_001001520.1;HDGFRP2;hepatoma-derived growth factor-related protein 2 isoform 1 [Homo sapiens];24;334;0.069971;59;56
NP_001007566.1;TFG;protein TFG isoform 1 [Homo sapiens];24;334;0.069971;127;127
NP_001073867.1;KIAA0368;proteasome-associated protein ECM29 homolog [Homo sapiens];24;334;0.069971;44;44
NP_001073936.1;MYO5B;myosin-Vb [Homo sapiens];24;334;0.069971;288;237
NP_001092006.1;USP5;ubiquitin carboxyl-terminal hydrolase 5 isoform 1 [Homo sapiens];24;334;0.069971;55;55
NP_001094096.1;ERLIN1;erlin-1 [Homo sapiens];24;334;0.069971;45;2
NP_001104792.1;DDX54;ATP-dependent RNA helicase DDX54 isoform 1 [Homo sapiens];24;334;0.069971;112;112
NP_001122321.1;SMARCA4;transcription activator BRG1 isoform A [Homo sapiens];24;334;0.069971;79;79
NP_001128247.1;KLC2;kinesin light chain 2 isoform 1 [Homo sapiens];24;334;0.069971;43;41
NP_001129704.1;SEC13;protein SEC13 homolog isoform 2 [Homo sapiens];24;334;0.069971;47;47
NP_001165694.1;MOB2;mps one binder kinase activator-like 2 isoform 1 [Homo sapiens];24;334;0.069971;81;81
NP_001261.2;CHD1;chromodomain-helicase-DNA-binding protein 1 [Homo sapiens];24;334;0.069971;189;189
NP_001611.1;AHNAK;neuroblast differentiation-associated protein AHNAK isoform 1 [Homo sapiens];24;334;0.069971;167;167
NP_001681.2;ATP6V1A;V-type proton ATPase catalytic subunit A [Homo sapiens];24;334;0.069971;78;78
NP_001719.2;BSG;basigin isoform 1 precursor [Homo sapiens];24;334;0.069971;70;70
NP_002009.1;FLII;protein flightless-1 homolog [Homo sapiens];24;334;0.069971;55;55
NP_002803.2;PSMD8;26S proteasome non-ATPase regulatory subunit 8 [Homo sapiens];24;334;0.069971;42;42
NP_002895.3;RDBP;negative elongation factor E [Homo sapiens];24;334;0.069971;39;39
NP_002906.1;RFC3;replication factor C subunit 3 isoform 1 [Homo sapiens];24;334;0.069971;41;41
NP_003901.2;BUD31;protein BUD31 homolog [Homo sapiens];24;334;0.069971;108;108
NP_004710.2;SCAF11;protein SCAF11 [Homo sapiens];24;334;0.069971;136;136
NP_004730.2;MTA2;metastasis-associated protein MTA2 [Homo sapiens];24;334;0.069971;78;78
NP_004936.2;DNM2;dynamin-2 isoform 3 [Homo sapiens];24;334;0.069971;58;58
NP_005862.1;SMNDC1;survival of motor neuron-related-splicing factor 30 [Homo sapiens];24;334;0.069971;47;47
NP_006223.2;POLR2H;DNA-directed RNA polymerases I, II, and III subunit RPABC3 [Homo sapiens];24;334;0.069971;67;67
NP_006444.2;TBL3;transducin beta-like protein 3 [Homo sapiens];24;334;0.069971;165;165
NP_008993.1;PWP1;periodic tryptophan protein 1 homolog [Homo sapiens];24;334;0.069971;47;47
